total_events,events_per_minute,cnt_1,cnt_3,cnt_7,cnt_8,cnt_12,cnt_13,cnt_22,cnt_4103,cnt_4104,cnt_4624,cnt_4625,cnt_4648,cnt_4672,cnt_4688,cnt_4697,cnt_4698,cnt_4702,cnt_4768,cnt_4769,cnt_4771,logon_success_score,logon_failure_score,explicit_creds_score,special_privs_score,service_create_score,wmi_score,kerberos_tgs_score,kerberos_tgt_score,process_create_score,network_conn_score,remote_thread_score,image_load_score,registry_score,distinct_target_users,distinct_src_users,distinct_src_ips,distinct_logon_types,network_logon_ratio,rdp_logon_ratio,logon_failure_ratio,entropy_eventids,distinct_eventids
244,48.8,0,2,1,0,100,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,161,0,1,0,0,0.0,0.0,0.0,2.1650722014084174,10
122,24.4,0,11,28,0,7,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,11,0,28,7,1,2,2,1,1.0,0.0,0.0,2.7407648420424846,12
161,32.2,0,0,0,0,0,0,0,0,0,7,0,0,7,1,0,0,0,0,1,0,7,0,0,7,0,0,1,0,1,0,0,0,0,5,3,4,2,0.9090909090909091,0.0,0.0,3.4157462299054138,18
805,161.0,3,9,165,0,164,62,4,9,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,13,0,165,226,2,3,0,0,0.0,0.0,0.0,3.507620654778471,26
388,77.6,0,0,0,0,32,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,1,0,0,0.0,0.0,0.0,2.425789555791633,11
699,139.8,4,3,113,0,38,10,0,0,0,3,0,0,3,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,8,3,0,113,48,5,4,1,1,1.0,0.0,0.0,3.1860636290719313,34
2564,512.8,0,0,0,0,0,0,0,169,34,22,0,0,18,3,0,0,0,0,2,0,22,0,0,18,0,203,2,0,3,0,0,0,0,5,3,5,1,1.0,0.0,0.0,3.0705445925225914,27
31411,6282.2,80,73,5194,1,15228,2160,22,108,1,2,0,0,2,11,0,0,0,0,0,0,2,0,0,2,0,109,0,0,91,95,1,5194,17388,4,5,1,1,1.0,0.0,0.0,2.1680264511245677,40
3511,702.2,0,0,0,0,0,0,0,273,34,27,0,0,27,3,0,0,0,0,2,0,27,0,0,27,0,307,2,0,3,0,0,0,0,3,2,3,1,1.0,0.0,0.0,2.983347932077708,26
428,85.6,2,33,74,0,45,33,0,0,0,9,0,0,8,2,0,0,1,0,0,0,9,0,0,8,1,0,0,0,4,33,0,74,78,4,3,4,1,1.0,0.0,0.0,3.966184296285467,28
2003,400.6,5,5,333,0,735,78,1,97,1,3,0,0,3,5,0,0,0,0,0,0,3,0,0,3,0,98,0,0,10,6,0,333,813,4,4,0,1,1.0,0.0,0.0,3.18359872371751,36
2128,425.6,10,3,508,1,726,71,4,0,0,1,0,0,1,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20,7,1,508,797,4,3,0,1,0.0,0.0,0.0,2.7158338439395124,35
690,138.0,3,1,75,0,54,273,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,75,327,1,2,0,0,0.0,0.0,0.0,2.98827660951059,20
1058,211.6,2,50,138,0,174,53,0,0,0,14,0,0,12,2,0,0,1,0,5,0,14,0,0,12,1,0,5,0,4,50,0,138,227,8,5,7,1,1.0,0.0,0.0,3.9299598042234427,34
1629,325.8,3,9,150,0,391,230,1,0,0,5,0,0,5,3,0,0,0,0,0,0,5,0,0,5,0,0,0,0,6,10,0,150,621,3,5,1,1,1.0,0.0,0.0,2.976947360238051,30
1987,397.4,6,9,260,0,234,76,1,0,0,1,0,0,1,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,10,0,260,310,10,4,0,1,0.0,0.0,0.0,2.544076511421647,32
496,99.2,6,16,171,0,38,24,2,0,0,5,0,0,5,6,0,0,1,0,0,0,5,0,0,5,1,0,0,0,12,18,0,171,62,2,3,3,1,1.0,0.0,0.0,3.61278717936231,28
1271,254.2,0,11,5,0,197,98,4,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,15,0,5,295,2,2,0,0,0.0,0.0,0.0,2.646045186801634,21
820,164.0,3,6,76,0,127,309,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,76,436,2,2,0,0,0.0,0.0,0.0,2.990517523417041,20
286,57.2,0,6,3,0,66,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,107,0,2,0,0,0.0,0.0,0.0,2.961318023212547,16
192,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.4591138868041249,3
44,8.8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,2,2,1,1.0,0.0,0.0,1.5025968492734747,7
1105,221.0,0,4,6,0,122,58,1,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,5,0,6,180,1,2,0,0,0.0,0.0,0.0,2.639638023872001,21
338,67.6,0,2,0,0,124,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,185,1,1,0,0,0.0,0.0,0.0,2.258225641546384,14
786,157.2,3,6,79,0,166,62,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,79,228,2,3,0,0,0.0,0.0,0.0,2.658758794326876,22
430,86.0,3,2,92,0,26,9,0,0,0,2,0,0,2,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,6,2,0,92,35,5,6,1,2,0.5,0.0,0.0,3.025494178888696,28
818,163.6,0,3,0,0,10,13,0,0,0,2,0,0,2,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,3,0,0,23,1,5,1,1,1.0,0.0,0.0,1.5947259471238853,21
7064,1412.8,14,28,933,0,2040,1923,18,0,0,4,0,0,4,15,0,1,0,0,0,0,4,0,0,4,1,0,0,0,29,46,0,933,3963,8,6,1,2,0.5,0.0,0.0,3.0046520969584343,45
280,56.0,0,28,32,0,36,23,0,0,0,9,0,0,6,0,0,0,0,0,1,0,9,0,0,6,0,0,1,0,0,28,0,32,59,5,6,6,1,1.0,0.0,0.0,3.562531083800518,19
962,192.4,0,7,3,0,64,165,1,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,8,0,3,229,0,1,0,0,0.0,0.0,0.0,2.7208666968421897,16
333,66.6,0,36,14,0,42,25,0,0,0,10,0,0,7,0,0,0,0,1,1,0,10,0,0,7,0,0,1,1,0,36,0,14,67,6,6,7,1,1.0,0.0,0.0,4.028679057572809,24
237,47.4,0,43,25,0,10,0,0,0,0,6,0,0,3,0,0,0,0,0,2,0,6,0,0,3,0,0,2,0,0,43,0,25,10,5,3,4,1,1.0,0.0,0.0,2.927491989640838,16
35332,7066.4,72,121,4396,0,8867,7166,46,0,0,4,0,0,4,29,0,1,0,0,0,0,4,0,0,4,1,0,0,0,101,167,0,4396,16033,8,5,0,1,0.0,0.0,0.0,2.448005201005243,43
249,49.8,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0.0,0.0,0.0,2.8268516701468505,10
393,78.6,0,6,42,0,14,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,42,28,0,2,0,0,0.0,0.0,0.0,3.4625304716555148,20
2154,430.8,6,12,325,0,222,177,3,0,0,4,0,0,4,6,0,0,1,0,0,0,4,0,0,4,1,0,0,0,12,15,0,325,399,4,5,2,2,0.8,0.0,0.0,3.0318675685729066,37
88,17.6,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,1,0,5,0,0,4,0,0,1,0,0,0,0,0,0,3,3,4,1,1.0,0.0,0.0,2.1007322336586975,8
218,43.6,0,1,0,0,145,15,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,160,1,3,1,1,1.0,0.0,0.0,1.8618452650485084,15
504,100.8,0,5,11,0,115,70,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,5,0,11,185,1,2,0,0,0.0,0.0,0.0,3.2626014062104596,25
1001,200.2,1,5,23,0,230,82,0,108,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,108,0,0,1,5,0,23,312,1,1,0,0,0.0,0.0,0.0,2.5690294774798,18
178,35.6,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,2,0,4,0,0,3,0,0,2,0,0,0,0,0,0,4,4,4,1,1.0,0.0,0.0,3.045509734661371,14
2946,589.2,11,7,472,0,537,68,2,132,2,7,0,0,7,11,0,0,0,0,0,0,7,0,0,7,0,134,0,0,22,9,0,472,605,4,4,1,1,1.0,0.0,0.0,3.3933074738435733,39
155,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2921961911807096,3
149,29.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.5051439857305876,3
80,16.0,0,3,3,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,0,0,0,0,0.0,0.0,0.0,2.623518569905962,10
438,87.6,3,3,102,0,99,59,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,102,158,2,2,0,0,0.0,0.0,0.0,3.052610446950287,23
585,117.0,0,46,25,0,37,28,0,0,0,14,0,0,8,0,0,0,0,0,0,0,14,0,0,8,0,0,0,0,0,46,0,25,65,4,5,5,1,1.0,0.0,0.0,3.996279686863869,22
58,11.6,0,2,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,5,1,4,1,1,1.0,0.0,0.0,3.124117305963286,16
11255,2251.0,21,37,1139,0,1426,1115,11,90,0,8,0,1,8,21,0,0,4,0,0,0,8,0,1,8,4,90,0,0,42,48,0,1139,2541,5,6,1,2,0.3333333333333333,0.0,0.0,3.671084650216085,46
93,18.6,0,11,20,0,6,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,11,0,20,6,2,2,2,1,1.0,0.0,0.0,2.7986113301643902,12
3256,651.2,8,7,364,0,450,177,1,1,0,6,0,0,6,8,0,0,0,0,0,0,6,0,0,6,0,1,0,0,16,8,0,364,627,5,6,0,2,0.875,0.0,0.0,2.637809221290633,38
325,65.0,3,1,103,0,22,2,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,1,0,103,24,3,3,0,1,1.0,0.0,0.0,3.198078642114261,25
1716,343.2,4,6,236,0,372,53,1,108,1,4,0,0,4,4,0,0,0,0,0,0,4,0,0,4,0,109,0,0,8,7,0,236,425,3,4,1,1,1.0,0.0,0.0,3.2572091691829637,36
176,35.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.26478161970439734,3
324,64.8,0,46,10,0,32,18,0,0,0,15,0,0,7,0,0,0,0,1,5,0,15,0,0,7,0,0,5,1,0,46,0,10,50,4,4,5,1,1.0,0.0,0.0,4.015776940679577,24
2906,581.2,6,4,351,0,596,229,1,126,1,1,0,0,1,6,1,0,0,0,0,0,1,0,0,1,1,127,0,0,12,5,0,351,825,3,5,1,1,1.0,0.0,0.0,2.865736396172999,42
150,30.0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,3,0,5,0,0,4,0,0,3,0,0,0,0,0,0,3,4,4,1,1.0,0.0,0.0,2.749954547069223,14
529,105.8,5,3,203,0,21,19,0,0,0,1,0,0,1,3,0,0,1,0,0,0,1,0,0,1,1,0,0,0,8,3,0,203,40,2,4,1,1,1.0,0.0,0.0,2.3176346067562394,25
695,139.0,0,12,47,0,90,94,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,47,184,1,2,0,0,0.0,0.0,0.0,2.937063718407704,23
211,42.2,2,7,91,0,19,13,0,0,0,4,0,0,4,2,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,7,0,91,32,2,2,3,1,1.0,0.0,0.0,3.2637279951045537,24
2634,526.8,2,9,146,0,65,26,1,0,0,10,0,5,10,2,0,0,0,0,0,0,10,0,5,10,0,0,0,0,4,10,0,146,91,3,4,1,1,1.0,0.0,0.0,1.6989094661574256,32
103,20.6,0,9,25,0,7,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,9,0,25,7,2,4,2,1,1.0,0.0,0.0,3.2178522959680147,15
1424,284.8,4,13,306,1,167,92,4,0,0,5,0,0,5,4,0,0,0,0,0,0,5,0,0,5,0,0,0,0,8,17,1,306,259,3,4,1,1,1.0,0.0,0.0,3.661511501608766,35
155,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2921961911807096,3
41,8.2,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0.0,0.0,0.0,2.072557096277705,6
542,108.4,2,3,36,0,98,57,0,66,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,66,0,0,4,3,0,36,155,3,2,0,0,0.0,0.0,0.0,2.971621637614744,23
1474,294.8,2,15,176,0,159,183,3,265,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,265,0,0,4,18,0,176,342,2,2,0,0,0.0,0.0,0.0,3.267775902245213,28
4307,861.4,5,9,414,0,1155,377,7,730,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,730,0,0,10,16,0,414,1532,2,2,0,0,0.0,0.0,0.0,3.006907558459171,35
364,72.8,0,4,18,0,25,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,18,41,0,1,0,0,0.0,0.0,0.0,1.734882253681094,12
50,10.0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,2,0,4,0,0,4,0,0,2,0,0,0,0,0,0,3,3,4,1,1.0,0.0,0.0,2.8375403936964356,11
49,9.8,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0.0,0.0,0.0,2.289959021484768,6
58,11.6,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0.0,0.0,0.0,2.208285433325012,6
206,41.2,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,3,0,0,3,0,0,1,0,0,0,0,0,0,3,4,3,1,1.0,0.0,0.0,2.7282883502313764,11
140,28.0,0,0,0,0,0,0,0,0,0,7,0,0,7,1,0,0,0,0,0,0,7,0,0,7,0,0,0,0,1,0,0,0,0,4,4,3,2,0.9,0.0,0.0,2.9518827065990534,17
3515,703.0,0,0,0,0,0,0,0,273,35,30,0,0,29,3,0,0,0,0,5,0,30,0,0,29,0,308,5,0,3,0,0,0,0,6,5,4,1,1.0,0.0,0.0,2.997600706363563,26
123,24.6,0,2,0,0,19,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,24,1,2,1,1,1.0,0.0,0.0,2.7293343208031455,13
